ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Population,Country,Source,,,,CityData
12561,41.74638,-74.109241,1,place,,,,,New Paltz,NY,Ulster County,12561,"12,561.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: New Paltz, Population: 12561 "
48108,42.223305,-83.729342,1,place,,,,,Ann Arbor,MI,Washtenaw County,48108,"48,108.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Ann Arbor, Population: 48108 "
,0,0,0,,,,,,,,,, -   ,,,,,," City: , Population: 0 "
,0,0,0,,,,,,,,,, -   ,,,,,," City: , Population: 0 "
98374,47.139095,-122.258646,1,place,,,,,Puyallup,WA,Pierce County,98374,"98,374.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Puyallup, Population: 98374 "
64145,38.88057,-94.595958,1,place,,,,,Kansas City,MO,Jackson County,64145,"64,145.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Kansas City, Population: 64145 "
92345,34.374627,-117.300435,1,place,,,,,Hesperia,CA,San Bernardino County,92345,"92,345.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Hesperia, Population: 92345 "
68114,41.263262,-96.053634,1,place,,,,,Omaha,NE,Douglas County,68114,"68,114.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Omaha, Population: 68114 "
32837,28.390234,-81.433155,1,place,,,,,Orlando,FL,Orange County,32837,"32,837.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Orlando, Population: 32837 "
93635,37.103768,-120.847479,1,place,,,,,Los Banos,CA,Merced County,93635,"93,635.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Los Banos, Population: 93635 "
76155,32.831354,-97.051969,1,place,,,,,Fort Worth,TX,Tarrant County,76155,"76,155.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Fort Worth, Population: 76155 "
47201,39.191447,-85.891338,1,place,,,,,Columbus,IN,Bartholomew County,47201,"47,201.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Columbus, Population: 47201 "
95380,37.474396,-120.875918,1,place,,,,,Turlock,CA,Stanislaus County,95380,"95,380.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Turlock, Population: 95380 "
,0,0,0,,,,,,,,,, -   ,,,,,," City: , Population: 0 "
,0,0,0,,,,,,,,,, -   ,,,,,," City: , Population: 0 "
38671,34.956633,-89.99624,1,place,,,,,Southaven,MS,DeSoto County,38671,"38,671.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Southaven, Population: 38671 "
87544,35.849514,-106.288482,1,place,,,,,Los Alamos,NM,Los Alamos County,87544,"87,544.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Los Alamos, Population: 87544 "
60404,41.52003,-88.20173,1,place,,,,,Shorewood,IL,Will County,60404,"60,404.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Shorewood, Population: 60404 "
75207,32.76313,-96.798372,1,place,,,,,Dallas,TX,Dallas County,75207,"75,207.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Dallas, Population: 75207 "
95762,38.686847,-121.044846,1,place,,,,,El Dorado Hills,CA,El Dorado County,95762,"95,762.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: El Dorado Hills, Population: 95762 "
,0,0,0,,,,,,,,,, -   ,,,,,," City: , Population: 0 "
,0,0,0,,,,,,,,,, -   ,,,,,," City: , Population: 0 "
29401,32.780326,-79.940844,1,place,,,,,Charleston,SC,Charleston County,29401,"29,401.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Charleston, Population: 29401 "
,0,0,0,,,,,,,,,, -   ,,,,,," City: , Population: 0 "
43616,41.656948,-83.44433,1,place,,,,,Oregon,OH,Lucas County,43616,"43,616.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Oregon, Population: 43616 "
98023,47.311414,-122.36291,1,place,,,,,Federal Way,WA,King County,98023,"98,023.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Federal Way, Population: 98023 "
22302,38.827627,-77.089566,1,place,,,,,Alexandria,VA,Alexandria city,22302,"22,302.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Alexandria, Population: 22302 "
15668,40.4284,-79.69754,1,place,,,,,Murrysville,PA,Westmoreland County,15668,"15,668.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Murrysville, Population: 15668 "
,0,0,0,,,,,,,,,, -   ,,,,,," City: , Population: 0 "
,0,0,0,,,,,,,,,, -   ,,,,,," City: , Population: 0 "
57101,43.546358,-96.69063,1,place,,,,,Sioux Falls,SD,Minnehaha County,57101,"57,101.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Sioux Falls, Population: 57101 "
74075,36.167933,-97.068895,1,place,,,,,Stillwater,OK,Payne County,74075,"74,075.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Stillwater, Population: 74075 "
30319,33.876752,-84.329124,1,place,,,,,Atlanta,GA,DeKalb County,30319,"30,319.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Atlanta, Population: 30319 "
60611,41.8957,-87.613775,1,place,,,,,Chicago,IL,Cook County,60611,"60,611.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Chicago, Population: 60611 "
34315,0,0,0,,,,,,,,,, -   ,,,,,," City: , Population: 0 "
,0,0,0,,,,,,,,,, -   ,,,,,," City: , Population: 0 "
,0,0,0,,,,,,,,,, -   ,,,,,," City: , Population: 0 "
27601,35.773632,-78.634457,1,place,,,,,Raleigh,NC,Wake County,27601,"27,601.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Raleigh, Population: 27601 "
99212,47.670693,-117.310991,1,place,,,,,Spokane,WA,Spokane County,99212,"99,212.00",US,TIGER/Line® dataset from the US Census Bureau,,,," City: Spokane, Population: 99212 "
