ZIP,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
12561,41.74638,-74.109241,1,place,,,,,"New Paltz",NY,"Ulster County",12561,US,"TIGER/Line® dataset from the US Census Bureau"
48108,42.223305,-83.729342,1,place,,,,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
,0,0,0,,,,,,,,,,,
,0,0,0,,,,,,,,,,,
98374,47.139095,-122.258646,1,place,,,,,Puyallup,WA,"Pierce County",98374,US,"TIGER/Line® dataset from the US Census Bureau"
64145,38.88057,-94.595958,1,place,,,,,"Kansas City",MO,"Jackson County",64145,US,"TIGER/Line® dataset from the US Census Bureau"
92345,34.374627,-117.300435,1,place,,,,,Hesperia,CA,"San Bernardino County",92345,US,"TIGER/Line® dataset from the US Census Bureau"
68114,41.263262,-96.053634,1,place,,,,,Omaha,NE,"Douglas County",68114,US,"TIGER/Line® dataset from the US Census Bureau"
32837,28.390234,-81.433155,1,place,,,,,Orlando,FL,"Orange County",32837,US,"TIGER/Line® dataset from the US Census Bureau"
93635,37.103768,-120.847479,1,place,,,,,"Los Banos",CA,"Merced County",93635,US,"TIGER/Line® dataset from the US Census Bureau"
76155,32.831354,-97.051969,1,place,,,,,"Fort Worth",TX,"Tarrant County",76155,US,"TIGER/Line® dataset from the US Census Bureau"
47201,39.191447,-85.891338,1,place,,,,,Columbus,IN,"Bartholomew County",47201,US,"TIGER/Line® dataset from the US Census Bureau"
95380,37.474396,-120.875918,1,place,,,,,Turlock,CA,"Stanislaus County",95380,US,"TIGER/Line® dataset from the US Census Bureau"
,0,0,0,,,,,,,,,,,
,0,0,0,,,,,,,,,,,
38671,34.956633,-89.99624,1,place,,,,,Southaven,MS,"DeSoto County",38671,US,"TIGER/Line® dataset from the US Census Bureau"
87544,35.849514,-106.288482,1,place,,,,,"Los Alamos",NM,"Los Alamos County",87544,US,"TIGER/Line® dataset from the US Census Bureau"
60404,41.52003,-88.20173,1,place,,,,,Shorewood,IL,"Will County",60404,US,"TIGER/Line® dataset from the US Census Bureau"
75207,32.76313,-96.798372,1,place,,,,,Dallas,TX,"Dallas County",75207,US,"TIGER/Line® dataset from the US Census Bureau"
95762,38.686847,-121.044846,1,place,,,,,"El Dorado Hills",CA,"El Dorado County",95762,US,"TIGER/Line® dataset from the US Census Bureau"
,0,0,0,,,,,,,,,,,
,0,0,0,,,,,,,,,,,
29401,32.780326,-79.940844,1,place,,,,,Charleston,SC,"Charleston County",29401,US,"TIGER/Line® dataset from the US Census Bureau"
,0,0,0,,,,,,,,,,,
43616,41.656948,-83.44433,1,place,,,,,Oregon,OH,"Lucas County",43616,US,"TIGER/Line® dataset from the US Census Bureau"
98023,47.311414,-122.36291,1,place,,,,,"Federal Way",WA,"King County",98023,US,"TIGER/Line® dataset from the US Census Bureau"
22302,38.827627,-77.089566,1,place,,,,,Alexandria,VA,"Alexandria city",22302,US,"TIGER/Line® dataset from the US Census Bureau"
15668,40.4284,-79.69754,1,place,,,,,Murrysville,PA,"Westmoreland County",15668,US,"TIGER/Line® dataset from the US Census Bureau"
,0,0,0,,,,,,,,,,,
,0,0,0,,,,,,,,,,,
57101,43.546358,-96.69063,1,place,,,,,"Sioux Falls",SD,"Minnehaha County",57101,US,"TIGER/Line® dataset from the US Census Bureau"
74075,36.167933,-97.068895,1,place,,,,,Stillwater,OK,"Payne County",74075,US,"TIGER/Line® dataset from the US Census Bureau"
30319,33.876752,-84.329124,1,place,,,,,Atlanta,GA,"DeKalb County",30319,US,"TIGER/Line® dataset from the US Census Bureau"
60611,41.8957,-87.613775,1,place,,,,,Chicago,IL,"Cook County",60611,US,"TIGER/Line® dataset from the US Census Bureau"
34315,0,0,0,,,,,,,,,,,
,0,0,0,,,,,,,,,,,
,0,0,0,,,,,,,,,,,
27601,35.773632,-78.634457,1,place,,,,,Raleigh,NC,"Wake County",27601,US,"TIGER/Line® dataset from the US Census Bureau"
99212,47.670693,-117.310991,1,place,,,,,Spokane,WA,"Spokane County",99212,US,"TIGER/Line® dataset from the US Census Bureau"
11209,40.622459,-74.028749,1,place,,,,,Brooklyn,NY,"Kings County",11209,US,"TIGER/Line® dataset from the US Census Bureau"
92108,32.774699,-117.148616,1,place,,,,,"San Diego",CA,"San Diego County",92108,US,"TIGER/Line® dataset from the US Census Bureau"
12061,42.570352,-73.655682,1,place,,,,,"East Greenbush",NY,"Rensselaer County",12061,US,"TIGER/Line® dataset from the US Census Bureau"
98118,47.540246,-122.268545,1,place,,,,,Seattle,WA,"King County",98118,US,"TIGER/Line® dataset from the US Census Bureau"
,0,0,0,,,,,,,,,,,
48604,43.482403,-83.969391,1,place,,,,,Saginaw,MI,"Saginaw County",48604,US,"TIGER/Line® dataset from the US Census Bureau"
85345,33.573244,-112.245852,1,place,,,,,Peoria,AZ,"Maricopa County",85345,US,"TIGER/Line® dataset from the US Census Bureau"
,0,0,0,,,,,,,,,,,
,0,0,0,,,,,,,,,,,
92118,32.699235,-117.209642,1,place,,,,,Coronado,CA,"San Diego County",92118,US,"TIGER/Line® dataset from the US Census Bureau"
94111,37.799367,-122.398407,1,place,,,,,"San Francisco",CA,"San Francisco County",94111,US,"TIGER/Line® dataset from the US Census Bureau"
